,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_jump_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_jump_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_jump_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Ethereum_jump_60d,crypto_Solana_sign
2019-11-16,0.015539832595956057,-0.9496231856934638,-0.39971697014191676,-0.011611087792365958,0.12010592326066083,-1.5076319501839548,-0.043989783041788855,0.22642527862512232,-0.31223220203322827,-0.004863354411330239,0.29313147352930474,0.33374178040907093,0.0,0.290140731302111,0.31625280752857204,0.0,0.3004302975051713,0.36889388032586024,0.0,0.5942325429639601,0.5044650914834551,0.0,0
2019-11-17,0.009612175967251262,-0.9736761225807617,-0.5299622624192857,-0.009270793690155401,-0.336328847609227,-1.287873587521382,-0.015317090594677769,0.0787048538643986,-0.3574233668719487,0.013358223814607693,0.29838093134398397,0.2905485926951566,0.0,0.2852324447323646,0.2957152445215505,0.0,0.30066270055274963,0.35428839785328187,0.0,0.5938755359395423,0.4969294331255907,0.0,0
2019-11-18,-0.024939193962544796,0.24024548485227137,-2.679736674025111,-0.04175638890652705,-0.34631171838526664,-1.397125198605875,-0.020023477836683262,-0.20482287371570765,-1.222068433022253,-0.052764553586307786,0.322088139259867,0.324816091920061,0.0,0.29469398972969957,0.3125486887192557,0.0,0.27280729459465014,0.3580204976266474,0.0,0.5871359811199571,0.493871803107762,0.0,0
2019-11-19,-0.01734076028850665,0.4507509968106756,-2.814214442779782,-0.047024543349766246,0.030142246041130725,-1.700144128225778,-0.04179087879506663,-0.1329127282022142,-1.2141407376949558,-0.03997032736261448,0.3280391962816465,0.2782989944566097,0.0,0.30157591491359725,0.2947105810036844,0.0,0.25914164210721846,0.3482907628991436,0.0,0.5873774891403395,0.4879947860537713,0.0,0
2019-11-20,-0.009951563041062855,0.26693127998630334,-2.392305365639775,-0.027079508728906864,0.12914341242138522,-1.680786512307827,-0.07550052265291343,-0.07613334447269317,-1.2719295044465233,-0.04598735466000613,0.27597448816224057,0.2272990586516756,0.0,0.2585453350943141,0.26735640510609343,0.0,0.26061384473428967,0.3327154905219399,0.0,0.5872840023518764,0.48055696297264905,0.0,0
2019-11-21,-0.08449430113454345,-1.4883096059210539,2.9002795573086906,-0.12711364245940637,-1.6585628218131034,3.4976998880813164,-0.1387247302517725,-1.6212847576486464,4.268158532115875,-0.13049782957091138,0.5624710345116745,0.6471225814987216,0.0,0.4649238973739685,0.5534291992192377,0.0,0.39079171430424875,0.4977709359239348,1.0,0.6096663306913369,0.5283825465082062,0.0,0
2019-11-22,-0.07185277801231771,-0.5769696475205965,-2.736572562210759,-0.20857859643897533,-0.9806416208708362,0.14963930690509994,-0.21784939012913096,-1.3203684156079198,1.8091603157444054,-0.20211046232032143,0.5396633114177626,0.6113515628522332,0.0,0.5293712628603979,0.5972240724077498,0.0,0.4532074472327082,0.5537617495903726,0.0,0.6192465254085093,0.5541534462830044,0.0,0
2019-11-23,0.020743305838662653,-0.16257537036851036,-2.106568200966592,-0.16289609663776788,-0.830794091663384,-0.027153075828647184,-0.20465248554429513,-1.309014458983032,1.620713245276698,-0.1731744048884647,0.7021263282909164,0.7574442821321457,0.0,0.5534431905818495,0.6336162795915541,0.0,0.46627791370532584,0.5575711954088078,0.0,0.49747952352570884,0.5505173241727287,0.0,0
2019-11-24,-0.07147679678260763,0.7923486523777642,-1.8519780974711277,-0.21703213313186887,-0.37671566454553246,-1.3005820398573569,-0.26405667648163533,-1.0634215734322663,0.41464718455156,-0.26596646995915196,0.7326291802928795,0.7320966670162433,0.0,0.6060588485507163,0.6584980081455806,0.0,0.5021222939865955,0.5976203526121937,0.0,0.5161997357843922,0.5730159477723441,0.0,0
2019-11-25,0.025177196025247373,0.5690600504356418,-3.2394066183358503,-0.18190337406555865,-0.5281074260239592,-1.3966926201361882,-0.2089828827944657,-1.0041128119523965,0.3348179963795322,-0.25648985525887036,0.8643027950504634,0.8105862075863026,0.0,0.6580087618796828,0.6951951498429314,0.0,0.5104391166568568,0.6070031465385277,0.0,0.5173631868294735,0.5713355329466817,0.0,0
