,count,mean,std,min,25%,50%,75%,max
stocks_SP500_skewness_20d,1851.0,0.04932019113453807,0.8522397516209378,-2.9794262133730762,-0.4903753350600075,-0.024257531925640022,0.6202359918187494,3.0906673579689334
stocks_SP500_kurtosis_20d,1850.0,1.6005599892219227,1.9320872984809505,-0.9865374804897911,0.22276912257309892,1.094721934001572,2.386481478495698,11.539114203335643
stocks_SP500_cumret_20d,1853.0,0.006793292070659398,0.03638803022312756,-0.13659138363838744,-0.014227525152509024,0.013053369733091135,0.029338739625122002,0.10397578498021287
stocks_DJI_return,1853.0,0.0002585002124423572,0.007886628963349438,-0.056597603720987114,-0.0019617139192620167,0.0,0.0029676027067664667,0.0757603420314342
stocks_DJI_return_mean_1d,1853.0,0.0002585002124423572,0.007886628963349438,-0.056597603720987114,-0.0019617139192620167,0.0,0.0029676027067664667,0.0757603420314342
stocks_DJI_volatility_1d,0.0,,,,,,,
stocks_DJI_skewness_1d,0.0,,,,,,,
stocks_DJI_kurtosis_1d,0.0,,,,,,,
stocks_DJI_cumret_1d,1853.0,0.0002585002124423572,0.007886628963349438,-0.056597603720987114,-0.0019617139192620167,0.0,0.0029676027067664667,0.0757603420314342
stocks_DJI_return_mean_5d,1853.0,0.00026051194009130835,0.0035743213063040994,-0.02126790415773742,-0.0015887333787171442,0.00039846551875072844,0.0022710028907568887,0.01575340244045852
stocks_DJI_volatility_5d,1852.0,0.006621419029715788,0.004319519412001979,0.00039121033570426817,0.0036732646992719423,0.00571248643211051,0.008384068169545802,0.03974924607419456
stocks_DJI_skewness_5d,1851.0,0.10277109305938936,1.1532890013002588,-2.23592269608619,-0.7555215136571729,0.19652798475646385,0.9751023879208005,2.2353032028407163
stocks_DJI_kurtosis_5d,1850.0,0.8796686442312507,2.3016715920407878,-3.3283972861054036,-1.1515704668620568,1.1605327451876366,2.5773355387247068,4.999477946729677
stocks_DJI_cumret_5d,1853.0,0.001287516880176977,0.017758660440396146,-0.10633952078868711,-0.007943666893585721,0.001992327593753642,0.011355014453784444,0.06883820592975687
stocks_DJI_return_mean_10d,1853.0,0.000256550804294315,0.002476643999971309,-0.010572298880504271,-0.0010904416928837536,0.00037737287519298574,0.0016813763104473773,0.01575340244045852
stocks_DJI_volatility_10d,1852.0,0.00701338986223876,0.00377759162294362,0.0014099720202924992,0.004593318892147926,0.0059975031854529485,0.008699346911019677,0.03570074253399832
stocks_DJI_skewness_10d,1851.0,0.11783895043657072,1.0135566039207817,-3.0354984726588294,-0.5856234853481239,0.14783289062468777,0.8234296312064022,2.9384605663755514
stocks_DJI_kurtosis_10d,1850.0,1.3622116530926067,1.8876185246022816,-2.30919921081716,-0.04054065869618612,0.9783609582788482,2.5457872441304845,9.419776783521923
stocks_DJI_cumret_10d,1853.0,0.002584490916593165,0.024354823862127586,-0.10572298880504272,-0.010904416928837535,0.0037737287519298574,0.016760839764229,0.104500889484633
stocks_DJI_return_mean_20d,1853.0,0.00024598741074221197,0.001717027813069567,-0.006198527982139627,-0.0007258597098338353,0.00041052582985078945,0.001324104605634798,0.01575340244045852
stocks_DJI_volatility_20d,1852.0,0.007274324090935845,0.003348213039072432,0.0021693162526177446,0.005016689665897353,0.006407943895153189,0.008796768673530193,0.03104471772390885
stocks_DJI_skewness_20d,1851.0,0.026608078059490062,0.8880573576511395,-2.812388439060106,-0.5675977556534053,-0.02546056032421779,0.6154598880382148,2.615351385004643
stocks_DJI_kurtosis_20d,1850.0,1.781795075578063,1.9200023497538634,-1.0278653491884862,0.366470248060547,1.3441262992262453,2.6035562714803078,11.165927272539161
stocks_DJI_cumret_20d,1853.0,0.005124242766661208,0.03288652173287939,-0.11979675615073254,-0.014457810839914893,0.008210516597015789,0.02641411249559058,0.11804354875274162
stocks_NASDAQ_return,1853.0,0.0003415761519214777,0.011999517384144185,-0.06153568235512255,-0.002258160810459933,0.0,0.00477477157063726,0.11478442296259717
stocks_NASDAQ_return_mean_1d,1853.0,0.0003415761519214777,0.011999517384144185,-0.06153568235512255,-0.002258160810459933,0.0,0.00477477157063726,0.11478442296259717
stocks_NASDAQ_volatility_1d,0.0,,,,,,,
stocks_NASDAQ_skewness_1d,0.0,,,,,,,
stocks_NASDAQ_kurtosis_1d,0.0,,,,,,,
stocks_NASDAQ_cumret_1d,1853.0,0.0003415761519214777,0.011999517384144185,-0.06153568235512255,-0.002258160810459933,0.0,0.00477477157063726,0.11478442296259717
stocks_NASDAQ_return_mean_5d,1853.0,0.00033336771185179414,0.005188328412689074,-0.024095750396114293,-0.0025932390970119655,0.0007151874963508015,0.0033715268770295364,0.019848072205519596
stocks_NASDAQ_volatility_5d,1852.0,0.010221057058294973,0.006581540766234531,7.43743836028936e-05,0.0056848858531714525,0.008921222027207788,0.01339740969914174,0.061414127516026186
stocks_NASDAQ_skewness_5d,1851.0,0.08259615691552329,1.1707477152643915,-2.230853771630633,-0.7287362671470092,0.1501704367529281,0.9653744654074085,2.2335741490716954
