,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Solana_sign
2021-10-17,,,,,184.9235853490215,168.54426171188743,167.24975159784162,,,,179.4690126962591,146.19991049774092,124.49760150636122,103.11759421999498,92.45920208519063,77.0879455462268,31.553656671943802,37.09565113595567,0.0
2021-10-18,,,,,,,,,168.94205012982258,184.99996997401232,,161.33089107228088,124.67949997298962,106.62934709804458,92.78663440972367,76.8722769877487,31.604924960584956,36.91638273736065,0.0
2021-10-19,,,,,,,,179.35388157321984,174.36997733725684,185.4554948207178,186.93082192027111,168.98765327382372,125.52397540913995,105.7157596894013,92.77449627145033,76.36965344791157,29.561555729744487,36.9301379556969,0.0
2021-10-20,,,,,,,,171.80350177786187,,186.7404115286329,,,125.49776802604333,,90.0337153572039,82.88427480631725,21.90659500202865,27.092403681187406,0.0
2021-10-21,,166.9593994388941,,,,,,,,,187.64450189598293,175.37006883425943,127.65352884249859,106.97337852230216,94.60799054349623,82.96094154264696,21.554555455599473,26.714276774637746,0.0
2021-10-22,154.0540980771649,,180.49636470029395,,171.45296897184213,170.6869844370984,167.27596284024062,,,,188.35544106068326,167.26077175716193,127.1882719017436,106.74914998072246,83.76631233425447,60.229479933244455,18.379357014012054,19.38731372228148,0.0
2021-10-23,,,,,,,172.4809787984283,,,,187.8824942374075,168.68571612748426,114.15867098191272,108.05407099150446,86.3493437191332,60.58923619892034,18.373523214691406,19.430965031214992,0.0
2021-10-24,,,180.55281417189425,,,,,172.51575104701286,176.9719198988743,184.1420915183701,187.82135885155202,168.20719842799303,114.22517362882007,107.07315244184103,85.71002673165205,60.10616502632755,17.12045243451292,18.389835578297124,0.0
2021-10-25,,167.72149735247513,181.35154454455605,,175.2578275791156,,173.14614613038586,175.19888274253324,176.3629039669998,177.13309932521506,,165.85827888510022,114.26266640383874,107.24858020525976,85.62816815427145,59.537774543620415,17.148088443414757,18.232060151570465,0.0
2021-10-26,,164.31789367485896,175.87834249383752,,176.13229350886573,174.07383431616512,172.9661126752462,,168.07819860819637,,188.02728114637804,162.50079606061357,113.30066517061769,105.61027386739228,85.43756387919613,59.505061359805254,17.079667125436455,18.20513569032348,0.0
2021-10-27,,,182.36037958123865,,174.14927255164386,171.08581810356077,,,169.390379759382,,,173.0707809741471,117.92671920799889,114.77919031790869,85.92870111038413,64.75548013036821,17.36507078115196,19.065379721435267,0.0
2021-10-28,,,,,,176.30921086870174,,,,,,,127.21578559219711,,96.4839323275212,83.63073000925586,18.99597521139603,24.024234186943968,0.0
2021-10-29,,,,,180.51173660987138,176.01838552742072,172.2164255552078,,174.51161735041327,182.91490046504674,183.96926816915638,173.29251124935575,127.23708391009832,115.8117194816004,96.49550951087218,83.7236134637581,19.01116585874077,23.9680202965965,0.0
2021-10-30,,,,,,,,,175.98406171854535,186.6388742546145,181.8908563313956,173.44124546839586,129.43558020382787,115.28028756771502,96.73391403227527,83.69014142804258,19.024369731076764,23.93488250687497,0.0
2021-10-31,,168.22808082612013,,,179.06910612442917,,,,180.26359898776215,187.118923817681,175.2062100153469,176.3465102472932,124.39880703063623,115.91180999568698,92.89585863894739,77.2765553504462,20.512105594366894,19.880299165503697,0.0
2021-11-01,,,,,,,,177.05958175165765,178.84364955269953,192.24355114505877,181.82715615768436,179.08744486264473,124.56895406898715,116.89844412998778,92.88364005601302,77.4550453220786,20.521632816699228,19.9690437942189,0.0
2021-11-02,,,,,178.9732071748689,,175.48611520508715,173.50272921471807,,189.75305740816626,,192.47241205963627,116.59379624353076,105.51525555990273,93.96789374218247,77.88018335495325,20.030142467325536,20.311416407646345,0.0
2021-11-03,,,,,,,,,,188.48423564412664,181.59572561380602,191.23144445743947,117.08078029975957,105.2172233018905,94.05326667292958,78.0479532882335,20.033899859679565,20.356708349870978,0.0
2021-11-04,,163.05745515201048,186.13744522148426,190.23690594129226,,,,,179.9527429358669,193.74704553929885,181.66719974561917,187.73952745624862,106.54750370007608,103.59155375746474,94.26572119548764,77.9659237816133,19.977734480387305,20.39673188070331,0.0
2021-11-05,,162.3735838632996,186.57422801246597,189.59756925302744,168.25265541168807,,180.48508906888642,160.70381440453468,180.43085441127093,193.71680271776307,181.62360162450054,187.74746889254473,106.86837670116627,103.57600310684177,94.27126284231163,77.49066274476762,18.900840840023797,20.329855018250008,0.0
2021-11-06,,156.47341327612244,185.48309790991,189.33333557314782,,,,160.74473359954354,175.0345553995026,187.79158010078666,180.96895371300408,191.0639167777752,114.94638975651932,104.88899190935544,94.28836767709356,77.54873735818497,29.6881486871177,20.33088075791661,0.0
2021-11-07,,,,,,173.62776483853713,,164.08871790822153,175.0378246965612,,,190.34453424218697,,103.64702602495299,94.26012458616052,77.43830363589338,29.691642301465777,20.281392589788013,0.0
2021-11-08,,,181.68181367433309,,167.75947198720414,,186.34572138490165,163.95477840781146,,184.8813704957925,,193.3474000899522,109.80289890356451,103.33809112625411,94.42695166044241,76.57544810151705,29.739643492711487,20.08668206370154,0.0
