,stocks_SP500_cumret_1d,stocks_SP500_skewness_5d,stocks_SP500_cumret_5d,stocks_SP500_skewness_10d,stocks_SP500_cumret_10d,stocks_SP500_skewness_20d,stocks_SP500_cumret_20d,stocks_NASDAQ_skewness_5d,stocks_NASDAQ_cumret_5d,stocks_NASDAQ_skewness_10d,stocks_NASDAQ_cumret_10d,stocks_NASDAQ_skewness_20d,stocks_NASDAQ_kurtosis_20d,stocks_NASDAQ_cumret_20d,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,stocks_SP500_realized_vol_5d,stocks_SP500_exp_vol_5d,stocks_SP500_realized_vol_10d,stocks_SP500_exp_vol_10d,stocks_SP500_realized_vol_20d,stocks_SP500_exp_vol_20d,stocks_SP500_realized_vol_60d,stocks_SP500_exp_vol_60d,stocks_NASDAQ_realized_vol_5d,stocks_NASDAQ_exp_vol_5d,stocks_NASDAQ_realized_vol_10d,stocks_NASDAQ_exp_vol_10d,stocks_NASDAQ_realized_vol_20d,stocks_NASDAQ_exp_vol_20d,stocks_NASDAQ_realized_vol_60d,stocks_NASDAQ_exp_vol_60d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,economic_PCE_Price_Index_realized_vol_60d,trend_strength,economic_Unemployment_Rate_sign_yoy_change,economic_Nonfarm_Payrolls_sign_yoy_change,economic_CPI_All_Items_sign_yoy_change,economic_CPI_Core_sign_yoy_change,economic_Real_GDP_sign_yoy_change,economic_Potential_GDP_sign_yoy_change
2019-12-31,238.75539138666127,-172.77500744321117,-7.770949845524109,-145.8335320223757,4.3820451365043604,54.0316841740655,36.17387532625847,-212.03891557752894,-15.625402452083053,-3.5940223786857626,9.329803860187605,21.827851609158834,1176.8679760161945,49.712609376809056,49.911420487432814,-12.777969894491633,11.56388380678438,39.20484252323321,115.50158138372295,-35.740913905455436,36.77494868474784,30.63037049577427,34.042110943249696,26.799951484606215,43.28670369915871,26.5470680646095,48.273058104896094,31.800197495737297,29.46822816005024,22.422485265644564,36.55622293050883,20.445350242396017,43.119415629491364,20.05323705721822,51.22794521425552,23.95091715842383,50.89315171319435,33.44847167489443,62.432394378822565,34.13118740394589,68.37587682431216,36.37527813761366,45.537433478166,37.61845239437956,434.2811431373132,183.3729723440715,,,,,,
2020-01-01,0.0,-171.64970014390912,-7.864534682651238,-145.8335320223757,4.3820451365043604,29.128874075301216,25.135416420059475,-311.91904982567917,-10.685865379118415,-3.5940223786857626,9.329803860187605,39.18300170343033,2516.2933770823715,39.69461316025645,54.66309960470589,536.0256118828273,-12.018561444974848,48.08045373060881,119.83726493114327,-37.3632879060314,36.75697635468471,25.01006898507288,34.042110943249696,24.263275449551124,37.0908781802067,25.311620611973083,48.273058104896094,31.30118631738588,29.525507887146667,18.315142228929314,36.55622293050883,18.509058373331495,40.622222253092474,19.12760430027467,51.22794521425551,23.578125035048288,50.99471273631888,28.41019736714175,56.72556892636204,31.29825346905691,68.16478875554252,34.87004310536207,45.6225091636154,37.1097002692794,464.22260447123074,181.80396529038308,,,,,,
2020-01-02,677.2126113442253,23.24740282762436,15.112715774416136,81.12127730221749,15.439957755483707,50.70508675273522,35.82825408332898,185.0260864870239,26.700263570073197,219.7708548497668,28.475939684260176,100.70886503160581,2689.472254489409,55.136059022258685,-14.028030418250559,574.7513277208526,-9.470362545016949,91.96958337337244,110.13855328765483,-44.93837994207599,59.328599253791936,40.790946962332804,46.44075877663497,34.268174310941426,43.007366519155404,30.386808958142534,50.18551732151657,32.60603174472436,59.84015883887444,38.15462804678069,54.40344758625002,31.085314621657734,50.925835056636195,25.999089869045694,54.80201711772388,25.594280125961504,56.754583745793695,28.624870743753778,55.89844392400689,31.051062078412528,68.7234893059808,34.276277002420116,45.804880296816684,36.79674410112987,464.22260447123074,203.16219270681032,,,,,,
2020-01-03,-575.0299786652471,46.1726032299843,-4.397564481421506,-3.3637965585752916,5.252533564067386,-9.907157876923591,26.66915730165918,181.8828217700069,4.432461046542309,154.18951974828937,13.239333296029047,48.41905833793836,1806.8967971528427,44.290552769301506,-8.57031420319017,-97.39397367164194,39.08369209501212,32.70685730371599,57.43251831509101,-21.890259599541135,73.29527709561235,53.26165657807043,56.30955854457616,42.23508292352784,49.86257026898399,35.39451002712775,52.1052027243757,34.16504345311737,70.18465330543253,44.70263367595666,62.223199167170215,35.306209704051696,56.91140584861293,28.865861627761063,56.3431071279074,26.541785071409812,58.77605936417759,43.95938696546079,69.83336696225967,38.89667167563591,72.77963334512815,38.16649650260494,46.92472830554677,38.11259532377583,464.22260447123074,182.00531891405817,,,,,,
2020-01-04,0.0,-21.622374471128005,11.567738459188199,-3.3637965585752916,5.252533564067386,-9.907157876923591,26.66915730165918,134.82943325708797,23.50462640379455,154.18951974828937,13.239333296029047,48.41905833793836,1806.8967971528427,44.290552769301506,35.772566930294175,-49.96363599890288,66.36476063981983,22.140602398830687,55.86781853999663,-20.165295320229603,64.4532913776579,43.54291526851078,56.30955854457616,38.20527597921327,49.86257026898399,33.69599485755302,51.99150476985663,33.62224913231407,62.68100601327089,36.505703974172135,62.223199167170215,31.97089281162099,56.91140584861293,27.50586654913626,56.35165861354299,26.12574555825258,56.86479410935963,36.0298732527919,66.48542409102856,35.18619940239283,72.87036520972535,36.35721385866095,46.79426915066438,37.537910085661515,464.22260447123074,180.56135365386763,,,,,,
2020-01-05,0.0,46.4554226132828,3.4669702012297363,54.955906415668544,-2.3111138349764095,-10.328644890087894,17.46164456911588,217.41621272631102,15.118326425660719,255.70149238461948,-0.31472453946590906,67.91865735731515,3682.699124100601,31.853723021336517,98.57981584587111,-72.40761847914489,76.0705007916171,31.12641206912566,110.26604264229508,6.877219172149901,63.03413574972721,35.582523597811935,52.386562745028776,34.55960494980549,46.05993737697296,32.07630750175184,52.01457187765719,33.0873429247132,62.58709930308092,29.810133138571338,57.198145808367364,28.944803285584502,53.2453865049136,26.205357526403976,56.00429062762048,25.715457680515552,50.07171507646023,29.426805799301487,66.18312431613677,31.85940836966695,66.92104134264846,34.6785424154054,46.750756105095824,36.99810902603817,464.22260447123074,179.1585028716037,,,,,,
2020-01-06,286.2724307870933,-31.761677001015144,13.179951369864638,-0.43959037700217446,2.854226566979346,-23.692969042605558,21.588021275157935,63.73129494962261,30.94383498954356,151.67830588631574,12.57342059954681,50.62842794497344,2725.4288963095905,38.13775489254189,193.10188479017148,-395.2097194117134,126.92739926577312,456.28955365006556,8.947079348096624,56.7962221506055,65.15490838531119,33.097901796670854,54.34260017133471,33.20820471890485,46.824297549339924,31.385513587815243,52.13713737874364,32.777433394866385,64.335026341522,28.2882607927756,59.40545388522145,28.15131123391929,54.48156245783324,25.90808660266467,56.40102308127807,25.60391493272773,62.84429114413563,38.07384556093131,76.93216923110352,37.70918199284373,58.93554629251149,38.30818505376178,48.31709033643079,38.50205860921199,464.22260447123074,187.54276327263614,,,,,,
2020-01-07,-227.83775287075093,-77.71694044350045,-17.527641115085743,43.800327565487756,-1.2967457624144219,-16.118285633833963,18.51799568115947,-135.77996325568364,-7.34188633432224,155.62668051006358,12.015074747892312,53.25673358686661,2674.3606987769117,37.01710990807218,234.3635010868085,-416.64668999665525,112.87554747198696,396.49042255193854,-8.962184753035595,26.3478515495195,45.55491528680908,31.486700703001052,55.603591431752754,32.14613929688476,47.95939720884233,31.07196443006137,52.469325979616634,32.66867659481683,39.50809305824722,23.848686998880662,59.456630275811364,25.707397553577533,54.61735587609269,24.76933678409053,56.138050111293325,25.221509016657702,51.59622378540946,36.497179466152915,78.20945471831855,35.55614657907124,49.23393951498065,36.721800739240756,48.2109113310828,37.88017677937779,464.22260447123074,178.50799558410327,,,,,,
2020-01-08,396.92375995966097,7.573516908854845,15.449926211574388,-15.403195769080687,5.93480179154235,-15.148470449310189,19.0882258008833,139.78039624670288,33.7504829192815,73.46772683005905,23.698831790337334,53.284464599691276,2690.272931326069,36.95051779594797,101.16886450080128,-14.155784676983702,47.437264768312545,434.42126981505805,-1.7860678987929917,30.770812737970093,35.51849456328819,33.64867474481847,58.917832158129194,33.039403050687675,48.30109814225014,31.455027984439344,53.001622368908976,32.67309194264806,28.299673689426815,24.20545275990452,62.26825254183341,25.834684228060006,54.58361383229688,24.953987184048536,56.812741102035105,25.276369141274944,50.776061681099996,35.57705266621492,73.14648552671835,34.831062528301935,47.95272654461522,35.82072390311957,48.236414646116835,37.39936942394955,464.22260447123074,190.605828513757,,,,,,
2020-01-09,538.3691979172161,-71.61088275259104,33.71633722001703,-98.22781206321567,24.316252040148285,-5.411082377203195,21.28671937520871,-81.1355000486374,56.604263317983396,2.4024445355212003,49.72081524479536,48.1420635266849,1629.0344221316968,42.25368784006513,56.09126281180132,-15.822407314318948,47.06087514438543,447.67195275484306,-5.964909395907129,25.790393638531985,44.01111386412991,35.08881027365093,56.711693964771385,35.152330748778255,49.9388325821722,33.00885620345209,54.0481161496626,33.175334539495,32.133788002974285,23.83965674266056,58.37821075296844,26.315131489382317,56.90999784356799,25.596385911354226,57.84127141386253,25.567186433656648,55.29792896212309,31.860819131100143,73.22024578457696,33.385061969639004,48.67437208924893,34.83719516011438,47.94767814922314,36.922791654147936,464.22260447123074,207.49601831925455,,,,,,
