,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2022-10-02,-81.51814636883078,813.9216600040038,-39.906286207843294,-311.7204461722749,-1.3144076576015145,-102.77455136325241,22.670483294983043,20.03754026174988,39.115127876279445,29.82353615590183,81.98482732334435,40.27203938609703,67.5935463595231,51.02690151955122
2022-10-03,-20.642722272239673,70.01347790713666,-3.6610167055669995,-416.4670849469388,42.09889478622402,-61.92820722010417,42.8608718631799,34.39961984083883,50.60578728330398,34.50488747796027,79.1965329330204,41.39727901287151,68.06871463265355,50.945630059919836
2022-10-04,38.58032688599683,-355.5763566587127,33.166654636098805,-423.2344929515542,45.0363123838106,-63.58582597901545,49.6897388199962,32.05343773147611,54.97118681692959,34.18849876244406,78.74830723474972,41.02126878141529,66.56042584391487,50.57372317468677
2022-10-05,36.454866981409275,-282.3918396695779,44.60740170215446,-348.2934157963648,80.50691486686148,-29.348706919325757,49.86935490066475,28.725071529729117,52.56371759564383,31.43800218367978,66.39296479931842,39.08357235246383,66.44332424829365,49.745655189820965
2022-10-06,59.14315508462524,195.9191894965025,12.284092482397893,-416.1361780144383,104.03311314725975,-20.219199693946063,47.65108135433993,23.820442005768,47.008896385846036,28.49063328324877,65.63058996952977,37.17602745184192,66.42494391056114,48.92509670075757
2022-10-07,85.04582589428266,120.94547067501028,1.8071931701817805,-356.62518964475703,110.19976363894163,-34.16080600381856,40.77752218144345,22.411395494413096,48.493289265826654,26.949185483617406,64.53790273871522,35.6706869321106,65.7463292836974,48.17866900521115
2022-10-08,-11.826524432289615,215.59904558780886,-16.63365406693843,140.03991381906496,22.91748068521818,-5.21404850698795,31.83314630565601,19.4272257431705,49.26431971319558,25.04670823873697,50.78792820748498,34.13363794383966,65.3420377248164,47.42715567194384
2022-10-09,-57.87726874267201,107.8737734108802,-9.88562064019152,186.8090856243536,59.186280281296476,-14.183884325732812,14.930551644147982,17.327149440983373,49.58031156701686,23.010352167546046,48.909870265175456,32.61505348828517,62.895828345744235,46.68036007420088
2022-10-10,-91.45229347195259,13.413798967058788,-28.174603961106147,234.6990172347227,80.77127033396967,-8.80776762379321,20.98272304322263,19.587915532025704,52.77655826108547,23.422637930979608,47.1261589992739,31.93915756574237,62.847911527068725,46.11893956280373
2022-10-11,-107.79892390113417,18.72833792271076,-24.925839340209794,647.5836822394109,87.88470806594336,7.423773987697056,19.244662617188844,15.994081699172561,52.42999997978638,21.25583851445537,40.781883773649525,30.423901169745353,62.156559268233224,45.37063769073878
