,BTC-USD_price,ETH-USD_price,BNB-USD_price,ADA-USD_price,SOL-USD_price
2024-03-06,66106.8046875,3819.226318359375,429.011962890625,0.7338209748268127,130.7420196533203
2024-03-07,66925.484375,3874.34765625,475.2906494140625,0.7447419762611389,143.9778594970703
2024-03-08,68300.09375,3892.06103515625,488.09417724609375,0.7248539924621582,145.2400360107422
2024-03-09,68498.8828125,3915.4189453125,489.5618286132813,0.7437130212783813,144.6072540283203
2024-03-10,69019.7890625,3881.193115234375,529.374755859375,0.7172269821166992,144.5151824951172
2024-03-11,72123.90625,4066.445068359375,522.718017578125,0.7741900086402893,148.75096130371094
2024-03-12,71481.2890625,3980.273193359375,537.86572265625,0.7480549812316895,151.01544189453125
2024-03-13,73083.5,4006.45703125,630.5613403320312,0.7645800113677979,163.83981323242188
2024-03-14,71396.59375,3883.140380859375,602.9887084960938,0.7504739761352539,176.67974853515625
2024-03-15,69403.7734375,3735.22021484375,632.8027954101562,0.7264410257339478,182.96469116210932
2024-03-16,65315.1171875,3522.860107421875,576.7752075195312,0.6595349907875061,181.88034057617188
2024-03-17,68390.625,3642.4130859375,571.0855712890625,0.681098997592926,202.12356567382807
2024-03-18,67548.59375,3517.985107421875,554.55712890625,0.6612579822540283,195.9927520751953
2024-03-19,61912.7734375,3157.6181640625,507.0765686035156,0.5869140028953552,170.0162811279297
2024-03-20,67913.671875,3513.39306640625,556.7005004882812,0.6394810080528259,191.54962158203125
2024-03-21,65491.390625,3492.9912109375,553.2482299804688,0.6318680047988892,179.2207489013672
2024-03-22,63778.76171875,3333.68798828125,551.778564453125,0.6132630109786987,174.36370849609375
2024-03-23,64062.203125,3336.593994140625,551.8795166015625,0.6258620023727417,172.90225219726562
2024-03-24,67234.171875,3454.636474609375,567.9948120117188,0.6461570262908936,183.57345581054688
2024-03-25,69958.8125,3590.8837890625,587.4276123046875,0.656948983669281,189.0835418701172
2024-03-26,69987.8359375,3587.5048828125,580.1505126953125,0.6650339961051941,190.69985961914065
2024-03-27,69455.34375,3500.115234375,574.5115966796875,0.6484829783439636,186.3614654541016
