,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
stocks_SP500_exp_vol_60d,0.008980497057773778,-0.001601678481293447,0.020008631338593475,-0.011901286010028232,0.03867508750514836,3.0,4.0,7.0
stocks_DJI_realized_vol_5d,-0.08187068103330405,-0.11170898332257792,0.134860095582203,-0.2405629635642042,0.1547073300737169,1.0,5.0,6.0
stocks_DJI_exp_vol_5d,-0.0300458921279237,-0.03794555435846603,0.03343249680038831,-0.06735453312749844,0.010397344893490895,2.0,4.0,6.0
stocks_DJI_realized_vol_10d,-0.007187871783157315,-0.018778974214299703,0.04037675902729745,-0.03900491423060246,0.06417831774228785,2.0,4.0,6.0
stocks_DJI_exp_vol_10d,0.014670895412293796,-0.004163463880460207,0.054544330925904,-0.043772992302705316,0.11199045647748032,3.0,4.0,7.0
stocks_DJI_realized_vol_20d,0.01497275227878102,0.01428132607051423,0.029994936168918036,-0.035977924205172276,0.046105066940730646,5.0,2.0,7.0
stocks_DJI_exp_vol_20d,0.007618199739314868,0.009406100314836059,0.030346518657523896,-0.02988276424630099,0.044747269191617006,5.0,2.0,7.0
stocks_DJI_realized_vol_60d,0.011256128435144277,0.006910407640126342,0.01261560616587098,-0.0030276076125624464,0.025772044445441282,5.0,2.0,7.0
stocks_DJI_exp_vol_60d,0.006113439240180697,0.007617051535666302,0.01807711076186023,-0.01849542584943598,0.028164936844974727,4.0,3.0,7.0
stocks_NASDAQ_realized_vol_5d,-0.08127834028792891,-0.06870651307910514,0.09624451600361424,-0.2119109914173114,0.06402398743525542,1.0,6.0,7.0
stocks_NASDAQ_exp_vol_5d,-0.02083490897172318,-0.050298080194163125,0.08987339212227716,-0.09381062209767539,0.11019014954622072,2.0,5.0,7.0
stocks_NASDAQ_realized_vol_10d,-0.005105956024634024,-0.012776637726443276,0.06535613643189409,-0.09671719336852061,0.12072536529354361,3.0,4.0,7.0
stocks_NASDAQ_exp_vol_10d,0.0029898487391915745,-0.006134703704704668,0.07415666369062285,-0.06708464598891857,0.16174265408850388,1.0,6.0,7.0
stocks_NASDAQ_realized_vol_20d,0.012345897596237313,-0.002409888763810153,0.03867691827087997,-0.03687512439363162,0.06237018864569396,3.0,4.0,7.0
stocks_NASDAQ_exp_vol_20d,-0.0033148917648673157,-0.03385999375575338,0.053469957975134305,-0.04617723565854639,0.0962901212250884,3.0,4.0,7.0
stocks_NASDAQ_realized_vol_60d,0.013417494800702654,0.004303128364174945,0.020028834078581522,-0.006109824766346278,0.05087929856698906,4.0,3.0,7.0
stocks_NASDAQ_exp_vol_60d,0.009307669356497092,-0.0036927221486382396,0.03089108626067457,-0.01716632973886951,0.06625164771039438,3.0,4.0,7.0
stocks_RUSSELL2000_realized_vol_5d,-0.034693277310326454,-0.044587398803747826,0.06614732020159594,-0.12863002992381542,0.03321686194993223,3.0,4.0,7.0
stocks_RUSSELL2000_exp_vol_5d,0.015877489584042535,-0.00036732931412387926,0.09286022688059586,-0.0847436622007808,0.14236979316277565,3.0,4.0,7.0
stocks_RUSSELL2000_realized_vol_10d,0.05168324961811247,0.03471785698297969,0.07344975868261519,-0.012301619625013572,0.19670011966286205,5.0,1.0,6.0
stocks_RUSSELL2000_exp_vol_10d,0.025649154759892618,0.0065810998844547525,0.07358901670909042,-0.0543067341917013,0.12652744864562554,4.0,3.0,7.0
stocks_RUSSELL2000_realized_vol_20d,0.04276297312664146,0.04059783367513821,0.05767446958379231,-0.02182632384158673,0.11792878837227588,5.0,2.0,7.0
stocks_RUSSELL2000_exp_vol_20d,0.048709509876701904,0.016343815642010463,0.06895468810513633,-0.044754732410447196,0.14201011421495705,6.0,1.0,7.0
stocks_RUSSELL2000_realized_vol_60d,0.017383949724853767,0.01611776489028274,0.019043278928495125,-0.004484253483837358,0.04046997821337981,5.0,2.0,7.0
stocks_RUSSELL2000_exp_vol_60d,0.02163436914820172,0.010011002698043083,0.02990922109180969,-0.012982384086663508,0.05485234473149528,5.0,2.0,7.0
stocks_SPY_ETF_realized_vol_5d,-0.14015313535802862,-0.14798346500393655,0.07221426295784836,-0.2429668132422333,-0.02617767218639406,0.0,6.0,6.0
stocks_SPY_ETF_exp_vol_5d,-0.03808808215645685,-0.04532500467474296,0.034586831357417344,-0.0782004885831714,0.01874097497748202,1.0,6.0,7.0
stocks_SPY_ETF_realized_vol_10d,-0.027452489635706758,-0.018820200275166638,0.05675710178585205,-0.1496271185430469,0.02710353644280917,1.0,6.0,7.0
stocks_SPY_ETF_exp_vol_10d,-0.016854160855817736,-0.03971903101661405,0.036988871226439596,-0.058713794093168736,0.03390997788318684,3.0,4.0,7.0
stocks_SPY_ETF_realized_vol_20d,0.021306137257635666,0.008057973074286743,0.03222987229169452,-0.011401834258209757,0.06380313494240256,5.0,2.0,7.0
stocks_SPY_ETF_exp_vol_20d,0.002511881397530871,-0.015552375137990623,0.03288242950446747,-0.03606768624105977,0.04189820091019687,3.0,4.0,7.0
stocks_SPY_ETF_realized_vol_60d,0.011804053906365504,0.003609915732409692,0.01339139084702924,-0.0015517280205142882,0.03180418313855531,6.0,1.0,7.0
stocks_SPY_ETF_exp_vol_60d,0.008937498797952454,-0.0012875954777066714,0.01991114653354867,-0.01246521607433122,0.03505205672996782,3.0,4.0,7.0
stocks_QQQ_ETF_realized_vol_5d,-0.05273921922433134,-0.07016586340131006,0.05788673556203933,-0.12859044689365415,0.03249363958890723,1.0,5.0,6.0
