Date,SP500,DJI,NASDAQ,RUSSELL2000,SPY_ETF,QQQ_ETF,IWM_ETF,VTI_ETF,DXY,GOLD,OIL
2023-04-10,4109.10986328125,33586.51953125,12084.3603515625,1772.43994140625,396.41448974609375,313.1266174316406,170.44711303710938,196.77499389648438,101.7300033569336,1989.0999755859375,79.73999786376953
2023-04-11,4108.93994140625,33684.7890625,12031.8798828125,1786.5899658203125,396.52105712890625,311.1170654296875,171.79515075683594,196.9779052734375,101.88400268554688,2004.800048828125,81.52999877929688
2023-04-12,4091.949951171875,33646.5,11929.33984375,1773.699951171875,394.9047546386719,308.3686828613281,170.5343780517578,196.14698791503906,101.1709976196289,2010.9000244140625,83.26000213623047
2023-04-13,4146.22021484375,34029.69140625,12166.26953125,1796.6800537109375,400.1502380371094,314.4072265625,172.79408264160156,198.6977081298828,100.69999694824219,2041.300048828125,82.16000366210938
2023-04-14,4137.64013671875,33886.46875,12123.4697265625,1781.1500244140625,399.1726989746094,313.816162109375,171.1841583251953,198.14698791503906,101.24500274658203,2002.199951171875,82.5199966430664
2023-04-17,4151.31982421875,33987.1796875,12157.7197265625,1802.8399658203125,400.6050720214844,314.0821838378906,173.38565063476562,198.9392547607422,101.7959976196289,1994.199951171875,80.83000183105469
2023-04-18,4154.8701171875,33976.62890625,12153.41015625,1795.550048828125,400.8663330078125,314.10186767578125,172.6486053466797,199.035888671875,101.447998046875,2007.4000244140625,80.86000061035156
2023-04-19,4154.52001953125,33897.01171875,12157.23046875,1799.43994140625,400.7986145019531,313.9541015625,172.8716583251953,199.13253784179688,101.66799926757812,1995.199951171875,79.16000366210938
2023-04-20,4129.7900390625,33786.62109375,12059.5595703125,1789.699951171875,398.6114501953125,311.56036376953125,171.97943115234375,197.89581298828125,101.56600189208984,2007.5999755859375,77.29000091552734
2023-04-21,4133.52001953125,33808.9609375,12072.4599609375,1791.510009765625,398.9211120605469,311.8854064941406,172.20248413085938,198.06971740722656,101.552001953125,1979.5,77.87000274658203
2023-04-24,4137.0400390625,33875.3984375,12037.2001953125,1788.8699951171875,399.3372802734375,311.2352600097656,172.0861053466797,198.14698791503906,101.072998046875,1989.0999755859375,78.76000213623047
2023-04-25,4071.6298828125,33530.828125,11799.16015625,1745.949951171875,392.99822998046875,305.3642272949219,167.8382568359375,194.8426055908203,101.59200286865234,1994.0,77.06999969482422
2023-04-26,4055.989990234375,33301.87109375,11854.349609375,1730.4100341796875,391.33367919921875,307.2162170410156,166.2186279296875,193.96337890625,101.20500183105469,1985.699951171875,74.30000305175781
2023-04-27,4135.35009765625,33826.16015625,12142.240234375,1751.219970703125,399.1243591308594,315.5696105957031,168.43954467773438,197.60589599609375,101.25199890136719,1989.9000244140625,74.76000213623047
2023-04-28,4169.47998046875,34098.16015625,12226.580078125,1768.989990234375,402.53094482421875,317.74664306640625,169.9136962890625,199.32577514648438,101.40299987792969,1990.0999755859375,76.77999877929688
2023-05-01,4167.8701171875,34051.69921875,12212.599609375,1769.2099609375,402.12451171875,317.3821716308594,170.01068115234375,199.2291259765625,101.91999816894531,1983.4000244140625,75.66000366210938
2023-05-02,4119.580078125,33684.53125,12080.509765625,1732.1099853515625,397.6048889160156,314.61407470703125,166.519287109375,196.79432678222656,101.7249984741211,2014.300048828125,71.66000366210938
2023-05-03,4090.75,33414.23828125,12025.330078125,1739.280029296875,394.875732421875,312.5552978515625,167.1302947998047,195.64454650878906,101.11499786376953,2028.5999755859375,68.5999984741211
2023-05-04,4061.219970703125,33127.73828125,11966.400390625,1718.81005859375,392.07891845703125,311.4519958496094,165.25851440429688,194.18556213378906,101.18399810791016,2048.0,68.55999755859375
2023-05-05,4136.25,33674.37890625,12235.41015625,1759.8800048828125,399.3372802734375,318.0717468261719,169.18630981445312,197.7701873779297,100.9990005493164,2017.4000244140625,71.33999633789062
2023-05-08,4138.1201171875,33618.69140625,12256.919921875,1754.469970703125,399.4437255859375,318.8597717285156,168.79840087890625,197.9827423095703,101.15499877929688,2026.300048828125,73.16000366210938
2023-05-09,4119.169921875,33561.80859375,12179.5498046875,1749.6800537109375,397.6920166015625,316.8403625488281,168.29409790039062,197.17115783691406,101.39900207519531,2036.199951171875,73.70999908447266
2023-05-10,4137.64013671875,33531.328125,12306.4404296875,1759.510009765625,399.5501708984375,320.28814697265625,169.14755249023438,198.04071044921875,101.26899719238281,2030.5,72.55999755859375
2023-05-11,4130.6201171875,33309.51171875,12328.509765625,1744.7099609375,398.8533935546875,321.3323974609375,167.8479461669922,197.7798309326172,101.87300109863281,2014.699951171875,70.87000274658203
2023-05-12,4124.080078125,33300.62109375,12284.740234375,1740.8499755859375,398.3307189941406,320.1797180175781,167.50852966308594,197.31607055664062,102.50900268554688,2014.5,70.04000091552734
2023-05-15,4136.27978515625,33348.6015625,12365.2099609375,1761.550048828125,399.70501708984375,321.9135437011719,169.5548553466797,198.15667724609375,102.27100372314453,2018.0,71.11000061035156
2023-05-16,4109.89990234375,33012.140625,12343.0498046875,1736.1800537109375,397.033935546875,322.27801513671875,167.081787109375,196.62039184570312,102.40399932861328,1988.4000244140625,70.86000061035156
2023-05-17,4158.77001953125,33420.76953125,12500.5703125,1774.5,401.8535461425781,326.1788635253906,170.8059539794922,199.17115783691406,102.72599792480469,1980.699951171875,72.83000183105469
2023-05-18,4198.0498046875,33535.91015625,12688.83984375,1784.8599853515625,405.7247009277344,332.2371520996094,171.84364318847656,201.15184020996094,103.45500183105469,1956.5,71.86000061035156
2023-05-19,4191.97998046875,33426.62890625,12657.900390625,1773.719970703125,405.1343078613281,331.4884948730469,170.79623413085938,200.6687469482422,103.0790023803711,1978.699951171875,71.55000305175781
2023-05-22,4192.6298828125,33286.578125,12720.7802734375,1795.3800048828125,405.2987976074219,332.6015930175781,172.8813934326172,201.0166015625,103.0790023803711,1974.800048828125,71.98999786376953
2023-05-23,4145.580078125,33055.51171875,12560.25,1787.7099609375,400.7502136230469,328.3854675292969,172.0667266845703,198.89097595214844,103.38500213623047,1972.4000244140625,72.91000366210938
2023-05-24,4115.240234375,32799.921875,12484.16015625,1767.0,397.84686279296875,326.7009582519531,170.24343872070312,197.35472106933594,103.79900360107422,1962.800048828125,74.33999633789062
2023-05-25,4151.27978515625,32764.650390625,12698.08984375,1754.5999755859375,401.29217529296875,334.6506042480469,168.9147491455078,198.6977081298828,104.17500305175781,1943.0999755859375,71.83000183105469
2023-05-26,4205.4501953125,33093.33984375,12975.6904296875,1773.02001953125,406.4891662597656,343.2010803222656,170.8350067138672,201.3160858154297,104.13600158691406,1944.0999755859375,72.66999816894531
2023-05-30,4205.52001953125,33042.78125,13017.4296875,1767.2900390625,406.64404296875,344.75750732421875,170.2046356201172,201.3837432861328,104.0780029296875,1958.0,69.45999908447266
2023-05-31,4179.830078125,32908.26953125,12935.2900390625,1749.6500244140625,404.38909912109375,342.7971496582031,168.52684020996094,200.17599487304688,104.24500274658203,1963.9000244140625,68.08999633789062
2023-06-01,4221.02001953125,33061.5703125,13100.98046875,1767.93994140625,408.231201171875,346.7572021484375,170.35011291503906,202.17601013183594,103.50199890136719,1978.0,70.0999984741211
2023-06-02,4282.3701171875,33762.76171875,13240.76953125,1830.9100341796875,414.134765625,349.3578186035156,176.5279083251953,205.51905822753906,103.9520034790039,1952.4000244140625,71.73999786376953
2023-06-05,4273.7900390625,33562.859375,13229.4296875,1806.7099609375,413.34112548828125,349.6040954589844,174.16152954101562,204.9779510498047,103.93599700927734,1958.0,72.1500015258789
2023-06-06,4283.85009765625,33573.28125,13276.419921875,1855.4000244140625,414.24114990234375,349.544921875,178.74879455566406,205.91517639160156,104.0739974975586,1965.5,71.73999786376953
2023-06-07,4267.52001953125,33665.01953125,13104.900390625,1888.449951171875,412.80877685546875,343.61480712890625,182.09329223632812,205.50938415527344,104.05500030517578,1942.699951171875,72.52999877929688
2023-06-08,4293.93017578125,33833.609375,13238.51953125,1880.780029296875,415.3056945800781,347.8801574707031,181.4125518798828,206.47557067871094,103.31600189208984,1963.5999755859375,71.29000091552734
