,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
economic_Federal_Funds_Rate_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
economic_Treasury_10Y_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Treasury_2Y_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Treasury_3M_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
economic_Money_Supply_M1_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Money_Supply_M2_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Consumer_Sentiment_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Industrial_Production_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
bull_market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
crypto_Solana_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
crypto_Polkadot_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
crypto_Avalanche_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
economic_Labor_Force_Participation_sign,0.1217362660942907,0.11621033575621242,0.017579078802886585,0.1072006858926674,0.14732370697207053,4.0,0.0,4.0
stocks_SP500_kurtosis_10d,-0.005671143494999508,-0.015276238389029546,0.04558317818642893,-0.04881720314032571,0.056685105938386764,1.0,3.0,4.0
stocks_SP500_cumret_10d,0.07875346350303153,0.07875346350303153,0.15004307693776375,-0.02734301366975611,0.18484994067581917,1.0,1.0,2.0
stocks_SP500_kurtosis_20d,0.09305651864410695,0.1479801133524743,0.15612826379463865,-0.08311164647474753,0.2143010890545941,2.0,1.0,3.0
stocks_SP500_cumret_20d,0.11988577829075336,0.11988577829075336,0.02183691515253521,0.10444474750620045,0.13532680907530628,2.0,0.0,2.0
stocks_NASDAQ_cumret_5d,0.17692919958180064,0.17692919958180064,,0.17692919958180064,0.17692919958180064,1.0,0.0,1.0
stocks_NASDAQ_skewness_10d,0.07016821981848587,0.059815558130529634,0.07809044751771162,-0.004187900296431504,0.1652296633093157,3.0,1.0,4.0
stocks_NASDAQ_cumret_10d,-0.051342100223547495,0.05485369965663023,0.25845920107912157,-0.34598295222043873,0.13710295189316601,2.0,1.0,3.0
stocks_NASDAQ_cumret_20d,0.06723337426857917,0.06723337426857917,0.04309531211270435,0.03676038683633516,0.09770636170082317,2.0,0.0,2.0
crypto_Ethereum_skewness_5d,0.14182815531627252,0.14182815531627252,,0.14182815531627252,0.14182815531627252,1.0,0.0,1.0
crypto_Ethereum_kurtosis_5d,0.08439754073987746,0.08439754073987746,0.028444052228525654,0.06428455852466264,0.10451052295509228,2.0,0.0,2.0
crypto_Ethereum_cumret_5d,0.10644109571177013,0.10644109571177013,,0.10644109571177013,0.10644109571177013,1.0,0.0,1.0
stocks_SP500_skewness_10d,0.11396409707024567,0.11396409707024567,,0.11396409707024567,0.11396409707024567,1.0,0.0,1.0
stocks_NASDAQ_kurtosis_20d,0.001364198781402634,0.001364198781402634,,0.001364198781402634,0.001364198781402634,1.0,0.0,1.0
